year,week,lineup_rank,firstName,lastName,position,salary,eventId
2025,14,3,Brennan,O'Neill,A,40,2025_championship_game
2025,14,3,Matt,Traynor,M,22,2025_championship_game
2025,14,3,Michael,Rexrode,D,10,2025_championship_game
2025,14,3,Jonathan,Donville,M,10,2025_championship_game
2025,14,4,Jeff,Teat,A,46,2025_championship_game
2025,14,4,Logan,McNaney,G,39,2025_championship_game
2025,14,4,Trevor,Baptiste,FO,33,2025_championship_game
2025,14,4,Brennan,O'Neill,A,40,2025_championship_game
2025,14,4,Michael,Grace,D,13,2025_championship_game
2025,14,4,Jared,Bernhardt,M,15,2025_championship_game
2025,14,4,Justin,Anderson,M,14,2025_championship_game
2025,14,5,Jeff,Teat,A,46,2025_championship_game
2025,14,5,Connor,Shellenberger,A,47,2025_championship_game
2025,14,5,Logan,McNaney,G,39,2025_championship_game
2025,14,5,Trevor,Baptiste,FO,33,2025_championship_game
2025,14,5,Jared,Bernhardt,M,15,2025_championship_game
2025,14,5,Michael,Rexrode,D,10,2025_championship_game
2025,14,5,Jake,Stevens,M,10,2025_championship_game
2026,1,1,Liam,Entenmann,G,47,2026-ev-2
2026,1,1,Connor,Shellenberger,A,47,2026-ev-2
2026,1,1,TJ,Malone,A,43,2026-ev-4
2026,1,1,Matt,Brandau,M,27,2026-ev-4
2026,1,1,TD,Ierlan,FO,23,2026-ev-1
2026,1,1,Jack,Hannah,M,11,2026-ev-4
2026,1,1,Greg,Weyl,D,2,2026-ev-3
2026,1,2,Liam,Entenmann,G,47,2026-ev-2
2026,1,2,Kieran,McArdle,A,35,2026-ev-4
2026,1,2,Mac,O'Keefe,A,18,2026-ev-3
2026,1,2,Matt,Brandau,M,27,2026-ev-4
2026,1,2,Matt,Traynor,M,25,2026-ev-2
2026,1,2,Marcus,Hudgins,D,15,2026-ev-4
2026,1,2,TD,Ierlan,FO,23,2026-ev-1
2026,1,3,Liam,Entenmann,G,47,2026-ev-2
2026,1,3,Connor,Shellenberger,A,47,2026-ev-2
2026,1,3,Mac,O'Keefe,A,18,2026-ev-3
2026,1,3,Matt,Brandau,M,27,2026-ev-4
