year,week,lineup_rank,firstName,lastName,team,opponent,position,salary,sim_win160,actualPoints
2025,10,5,Trevor,Baptiste,ATL,OUT,FO,24,0.6092,6.9
2025,10,5,Rob,Pannell,WHP,RED,A,19,0.6105,13.0
2025,10,5,Zach,Currier,WAT,CAN,M,18,0.5829,4.0
2025,10,5,Ajax,Zappitello,WHP,RED,D,23,0.5163,30.0
2025,10,5,Jared,Bernhardt,OUT,CHA,M,15,0.43,36.0
2025,11,1,Brett,Dobson,ARC,CHA,G,44,1.0,39.0
2025,11,1,Jeff,Teat,ATL,WAT,A,45,0.8118,41.0
2025,11,1,TJ,Malone,WHP,CAN,A,41,0.7159,21.0
2025,11,1,Trevor,Baptiste,ATL,WAT,FO,23,0.6074,63.8
2025,11,1,Zach,Currier,WAT,ATL,M,16,0.6246,13.5
2025,11,1,Ethan,Rall,CAN,RED,D,21,0.4565,1.0
2025,11,1,Tre,Leclaire,ARC,CHA,M,10,0.3707,1.0
2025,11,2,Brett,Dobson,ARC,CHA,G,44,1.0,39.0
2025,11,2,Jeff,Teat,ATL,WAT,A,45,0.8118,41.0
2025,11,2,TJ,Malone,WHP,CAN,A,41,0.7159,21.0
2025,11,2,Trevor,Baptiste,ATL,WAT,FO,23,0.6074,63.8
2025,11,2,Zach,Currier,WAT,ATL,M,16,0.6246,13.5
2025,11,2,Tre,Leclaire,ARC,CHA,M,10,0.3707,1.0
2025,11,2,Owen,Grant,CAN,RED,D,18,0.4309,1.0
2025,11,3,Brett,Dobson,ARC,CHA,G,44,1.0,39.0
2025,11,3,Jeff,Teat,ATL,WAT,A,45,0.8118,41.0
2025,11,3,Marcus,Holman,CAN,RED,A,34,0.6767,8.0
2025,11,3,Trevor,Baptiste,ATL,WAT,FO,23,0.6074,63.8
2025,11,3,Zach,Currier,WAT,ATL,M,16,0.6246,13.5
2025,11,3,Ethan,Rall,CAN,RED,D,21,0.4565,1.0
2025,11,3,Tre,Leclaire,ARC,CHA,M,10,0.3707,1.0
2025,11,4,Brett,Dobson,ARC,CHA,G,44,1.0,39.0
2025,11,4,Jeff,Teat,ATL,WAT,A,45,0.8118,41.0
2025,11,4,Connor,Shellenberger,ATL,WAT,A,50,0.7773,68.0
2025,11,4,Trevor,Baptiste,ATL,WAT,FO,23,0.6074,63.8
2025,11,4,Zach,Currier,WAT,ATL,M,16,0.6246,13.5
2025,11,4,Tre,Leclaire,ARC,CHA,M,10,0.3707,1.0
2025,11,4,Scott,Smith,CHA,ARC,D,8,0.3489,11.0
2025,11,5,Brett,Dobson,ARC,CHA,G,44,1.0,39.0
2025,11,5,Jeff,Teat,ATL,WAT,A,45,0.8118,41.0
2025,11,5,Trevor,Baptiste,ATL,WAT,FO,23,0.6074,63.8
2025,11,5,Asher,Nolting,CAN,RED,A,38,0.6694,53.0
2025,11,5,Zach,Currier,WAT,ATL,M,16,0.6246,13.5
2025,11,5,Ethan,Rall,CAN,RED,D,21,0.4565,1.0
2025,11,5,Tre,Leclaire,ARC,CHA,M,10,0.3707,1.0
2025,12,1,Emmet,Carroll,WHP,WAT,G,31,0.8925,25.0
2025,12,1,TJ,Malone,WHP,WAT,A,44,0.7451,16.0
2025,12,1,Chris,Kavanagh,RED,CHA,A,36,0.7031,45.0
2025,12,1,Zach,Currier,WAT,WHP,M,22,0.6433,12.6
2025,12,1,Matt,Brandau,WHP,WAT,M,21,0.4492,-4.0
2025,12,1,Ajax,Zappitello,WHP,WAT,D,27,0.4385,15.0
2025,12,1,Justin,Inacio,CHA,RED,FO,17,0.318,19.5
