year,week,lineup_rank,firstName,lastName,team,opponent,position,salary,sim_p90,actualPoints
2025,10,5,Kieran,McArdle,WAT,CAN,A,30,57.21624416376414,19.0
2025,10,5,Andrew,McAdorey,RED,WHP,M,28,67.77986323252779,16.0
2025,10,5,Greg,Weyl,OUT,CHA,D,3,52.68717281192088,0.0
2025,10,5,Ross,Scott,CHA,OUT,M,22,45.06344397160493,13.0
2025,11,1,Jeff,Teat,ATL,WAT,A,45,80.42540172326106,41.0
2025,11,1,Owen,Hiltz,CHA,ARC,A,48,71.92069038734101,4.0
2025,11,1,Trevor,Baptiste,ATL,WAT,FO,23,64.13110882344539,63.8
2025,11,1,Colin,Kirst,CAN,WHP,G,7,55.67702846220874,17.0
2025,11,1,Matt,Brandau,WHP,CAN,M,28,50.13030355469974,47.0
2025,11,1,Andrew,McAdorey,RED,CAN,M,29,60.71804227068672,43.3
2025,11,1,Garrett,Epple,CAN,RED,D,18,43.95622500795752,0.0
2025,11,2,Jeff,Teat,ATL,WAT,A,45,80.42540172326106,41.0
2025,11,2,Owen,Hiltz,CHA,ARC,A,48,71.92069038734101,4.0
2025,11,2,Trevor,Baptiste,ATL,WAT,FO,23,64.13110882344539,63.8
2025,11,2,Colin,Kirst,CAN,WHP,G,7,55.67702846220874,17.0
2025,11,2,Zach,Currier,WAT,ATL,M,16,48.63095537866058,13.5
2025,11,2,Andrew,McAdorey,RED,CAN,M,29,60.71804227068672,43.3
2025,11,2,Garrett,Epple,CAN,RED,D,18,43.95622500795752,0.0
2025,11,3,Brett,Dobson,ARC,CHA,G,44,70.63376945995421,39.0
2025,11,3,Jeff,Teat,ATL,WAT,A,45,80.42540172326106,41.0
2025,11,3,Marcus,Holman,CAN,RED,A,34,61.5806779939166,8.0
2025,11,3,Trevor,Baptiste,ATL,WAT,FO,23,64.13110882344539,63.8
2025,11,3,Zach,Currier,WAT,ATL,M,16,48.63095537866058,13.5
2025,11,3,Andrew,McAdorey,RED,CAN,M,29,60.71804227068672,43.3
2025,11,3,Scott,Smith,CHA,ARC,D,8,36.830263676134216,11.0
2025,11,4,Jeff,Teat,ATL,WAT,A,45,80.42540172326106,41.0
